"manuscript_label","numbering_slot","kind","section","artifact_role","ext","artifact_path","exists","source_type","required_in_validation","pdf_display","allowed_missing","check_status","severity","notes","run_id","run_ts"
"Figure S1","Figure S1","figure","supplement","alias","png","Results/figs/figure_s1_covariate_balance_mi_logistic_ipsw.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Primary balance diagnostic for the MI logistic IPSW analysis.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S1","Figure S1","figure","supplement","alias","pdf","Results/figs/figure_s1_covariate_balance_mi_logistic_ipsw.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Primary balance diagnostic for the MI logistic IPSW analysis.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S2","Figure S2","figure","supplement","canonical","png","Results/figs/propensity-histograms-mi-logistic.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Imputation-averaged tested-versus-untested propensity-score distributions under the MI logistic IPSW models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S2","Figure S2","figure","supplement","canonical","pdf","Results/figs/propensity-histograms-mi-logistic.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Imputation-averaged tested-versus-untested propensity-score distributions under the MI logistic IPSW models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S2","Figure S2","figure","supplement","alias","png","Results/figs/figure_s2_propensity_score_overlap_mi_logistic.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Imputation-averaged tested-versus-untested propensity-score distributions under the MI logistic IPSW models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S2","Figure S2","figure","supplement","alias","pdf","Results/figs/figure_s2_propensity_score_overlap_mi_logistic.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Imputation-averaged tested-versus-untested propensity-score distributions under the MI logistic IPSW models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S3","Figure S3","figure","supplement","canonical","png","Results/figs/shap-top10-mi-logistic-abg-vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Mean absolute contribution summaries from the MI logistic IPSW test-ordering models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S3","Figure S3","figure","supplement","canonical","pdf","Results/figs/shap-top10-mi-logistic-abg-vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Mean absolute contribution summaries from the MI logistic IPSW test-ordering models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S3","Figure S3","figure","supplement","alias","png","Results/figs/figure_s3_shap_style_contributions_mi_logistic.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Mean absolute contribution summaries from the MI logistic IPSW test-ordering models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S3","Figure S3","figure","supplement","alias","pdf","Results/figs/figure_s3_shap_style_contributions_mi_logistic.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Mean absolute contribution summaries from the MI logistic IPSW test-ordering models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S4","Figure S4","figure","supplement","canonical","png","Results/figs/key-results-cat3-main-mi-ipw-abg-vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Weighted categorical display from the primary MI-logistic IPSW analysis with common-source marginal standardized predicted probabilities, intentionally harmonized as Figure S4 rather than a main-text Figure 3.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S4","Figure S4","figure","supplement","canonical","pdf","Results/figs/key-results-cat3-main-mi-ipw-abg-vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Weighted categorical display from the primary MI-logistic IPSW analysis with common-source marginal standardized predicted probabilities, intentionally harmonized as Figure S4 rather than a main-text Figure 3.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S4","Figure S4","figure","supplement","alias","png","Results/figs/figure_s4_weighted_categorical_associations_abg_vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Weighted categorical display from the primary MI-logistic IPSW analysis with common-source marginal standardized predicted probabilities, intentionally harmonized as Figure S4 rather than a main-text Figure 3.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S4","Figure S4","figure","supplement","alias","pdf","Results/figs/figure_s4_weighted_categorical_associations_abg_vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Weighted categorical display from the primary MI-logistic IPSW analysis with common-source marginal standardized predicted probabilities, intentionally harmonized as Figure S4 rather than a main-text Figure 3.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S5","Figure S5","figure","supplement","canonical","png","Results/figs/key-results-spline-adjusted-abg-vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Combined adjusted complete-case spline figure; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S5","Figure S5","figure","supplement","canonical","pdf","Results/figs/key-results-spline-adjusted-abg-vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Combined adjusted complete-case spline figure; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S5","Figure S5","figure","supplement","alias","png","Results/figs/figure_s5_unweighted_adjusted_spline_abg_vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Combined adjusted complete-case spline figure; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S5","Figure S5","figure","supplement","alias","pdf","Results/figs/figure_s5_unweighted_adjusted_spline_abg_vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Combined adjusted complete-case spline figure; .pdf sidecar also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S2","Table S2","table","supplement","canonical","csv","Results/table_s2_crude_threelevel.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Standalone crude categorical odds-ratio table; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S2","Table S2","table","supplement","canonical","pdf","Results/table_s2_crude_threelevel.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Standalone crude categorical odds-ratio table; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S2","Table S2","table","supplement","alias","csv","Results/table_s2_crude_threelevel.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Standalone crude categorical odds-ratio table; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S2","Table S2","table","supplement","alias","pdf","Results/table_s2_crude_threelevel.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Standalone crude categorical odds-ratio table; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S3","Table S3","table","supplement","canonical","csv","Results/table_s3_gbm_threelevel.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Standalone GBM IPSW-weighted categorical odds-ratio table; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S3","Table S3","table","supplement","canonical","pdf","Results/table_s3_gbm_threelevel.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Standalone GBM IPSW-weighted categorical odds-ratio table; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S3","Table S3","table","supplement","alias","csv","Results/table_s3_gbm_threelevel.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Standalone GBM IPSW-weighted categorical odds-ratio table; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S3","Table S3","table","supplement","alias","pdf","Results/table_s3_gbm_threelevel.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Standalone GBM IPSW-weighted categorical odds-ratio table; paired CSV also generated.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S6","Figure S6","figure","supplement","canonical","png","Results/figs/loveplot-ipw-gbm-abg-vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Raw-versus-weighted absolute standardized mean differences; dashed line marks |SMD| = 0.1.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S6","Figure S6","figure","supplement","canonical","pdf","Results/figs/loveplot-ipw-gbm-abg-vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Raw-versus-weighted absolute standardized mean differences; dashed line marks |SMD| = 0.1.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S6","Figure S6","figure","supplement","alias","png","Results/figs/figure_s6_covariate_balance_gbm_weighting.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Raw-versus-weighted absolute standardized mean differences; dashed line marks |SMD| = 0.1.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S6","Figure S6","figure","supplement","alias","pdf","Results/figs/figure_s6_covariate_balance_gbm_weighting.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Raw-versus-weighted absolute standardized mean differences; dashed line marks |SMD| = 0.1.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S7","Figure S7","figure","supplement","canonical","png","Results/figs/propensity-histograms-conditional.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Tested-versus-untested propensity-score distributions under the GBM sensitivity models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S7","Figure S7","figure","supplement","canonical","pdf","Results/figs/propensity-histograms-conditional.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Tested-versus-untested propensity-score distributions under the GBM sensitivity models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S7","Figure S7","figure","supplement","alias","png","Results/figs/figure_s7_propensity_score_overlap_gbm.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Tested-versus-untested propensity-score distributions under the GBM sensitivity models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S7","Figure S7","figure","supplement","alias","pdf","Results/figs/figure_s7_propensity_score_overlap_gbm.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Tested-versus-untested propensity-score distributions under the GBM sensitivity models.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S8","Figure S8","figure","supplement","canonical","png","Results/figs/shap-top10-ipw-gbm-abg-vbg.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Mean absolute SHAP value summaries; not interpreted as independent predictors.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S8","Figure S8","figure","supplement","canonical","pdf","Results/figs/shap-top10-ipw-gbm-abg-vbg.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Mean absolute SHAP value summaries; not interpreted as independent predictors.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S8","Figure S8","figure","supplement","alias","png","Results/figs/figure_s8_shap_style_contributions_gbm.png",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Mean absolute SHAP value summaries; not interpreted as independent predictors.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure S8","Figure S8","figure","supplement","alias","pdf","Results/figs/figure_s8_shap_style_contributions_gbm.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Mean absolute SHAP value summaries; not interpreted as independent predictors.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S1","Table S1","table","supplement","canonical","csv","Results/table_s1_inclusion_criteria.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Notebook-generated inclusion/restriction table derived from the same cohort-flow logic as Figure 1.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S1","Table S1","table","supplement","canonical","pdf","Results/table_s1_inclusion_criteria.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Notebook-generated inclusion/restriction table derived from the same cohort-flow logic as Figure 1.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S1","Table S1","table","supplement","alias","csv","Results/table_s1_inclusion_criteria.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Notebook-generated inclusion/restriction table derived from the same cohort-flow logic as Figure 1.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S1","Table S1","table","supplement","alias","pdf","Results/table_s1_inclusion_criteria.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Notebook-generated inclusion/restriction table derived from the same cohort-flow logic as Figure 1.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S4","Table S4","table","supplement","canonical","csv","Results/table_s4_missingness_primary_analysis.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Notebook-generated missingness table for baseline covariates used in the primary PS/direct-adjustment analysis.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S4","Table S4","table","supplement","canonical","pdf","Results/table_s4_missingness_primary_analysis.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Notebook-generated missingness table for baseline covariates used in the primary PS/direct-adjustment analysis.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S4","Table S4","table","supplement","alias","csv","Results/table_s4_missingness_primary_analysis.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Notebook-generated missingness table for baseline covariates used in the primary PS/direct-adjustment analysis.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S4","Table S4","table","supplement","alias","pdf","Results/table_s4_missingness_primary_analysis.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Notebook-generated missingness table for baseline covariates used in the primary PS/direct-adjustment analysis.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S5","Table S5","table","supplement","canonical","csv","Results/table_s5_mi_diagnostic_summary.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Compact manuscript-facing summary of MI execution, chain, Monte Carlo error, logged-event, warning, and outcome-fit diagnostics.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S5","Table S5","table","supplement","canonical","pdf","Results/table_s5_mi_diagnostic_summary.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Compact manuscript-facing summary of MI execution, chain, Monte Carlo error, logged-event, warning, and outcome-fit diagnostics.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S5","Table S5","table","supplement","alias","csv","Results/table_s5_mi_diagnostic_summary.csv",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Compact manuscript-facing summary of MI execution, chain, Monte Carlo error, logged-event, warning, and outcome-fit diagnostics.","20260423_104307","2026-04-23 10:43:07.487173"
"Table S5","Table S5","table","supplement","alias","pdf","Results/table_s5_mi_diagnostic_summary.pdf",TRUE,"notebook_generated",TRUE,TRUE,FALSE,"present","none","Compact manuscript-facing summary of MI execution, chain, Monte Carlo error, logged-event, warning, and outcome-fit diagnostics.","20260423_104307","2026-04-23 10:43:07.487173"
"Figure 3","Figure 3","figure","draft_only","suppressed","","",NA,"suppressed/deprecated",FALSE,FALSE,TRUE,"suppressed_draft_only","none","Weighted categorical display is intentionally harmonized as Figure S4; no Figure 3 alias is generated.","20260423_104307","2026-04-23 10:43:07.487173"
