"step_name","seconds","start_time","end_time","notes","run_id","run_mode","n_subset","run_ts"
"mi_single_pass",14593.1268508434,"2026-04-20 06:52:45.360176","2026-04-20 10:55:58.487027","m=80","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_20",1659.3892519474,"2026-04-19 20:59:03.660505","2026-04-19 21:26:43.049757","batch=20; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_13",1629.22418498993,"2026-04-19 18:23:29.951062","2026-04-19 18:50:39.175247","batch=13; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_16",1582.52128791809,"2026-04-19 19:41:58.983392","2026-04-19 20:08:21.50468","batch=16; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_12",1539.5632340908,"2026-04-19 17:57:12.501329","2026-04-19 18:22:52.064563","batch=12; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_18",1435.03389811516,"2026-04-19 20:18:22.327956","2026-04-19 20:42:17.361854","batch=18; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_6",1353.85620498657,"2026-04-19 15:08:44.98172","2026-04-19 15:31:18.837925","batch=6; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_15",1205.02848696709,"2026-04-19 19:21:18.488843","2026-04-19 19:41:23.51733","batch=15; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_32",1189.18661308289,"2026-04-20 02:03:32.095762","2026-04-20 02:23:21.282375","batch=32; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_1",1183.06890511513,"2026-04-19 13:09:57.461437","2026-04-19 13:29:40.530342","batch=1; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_7",1123.33461809158,"2026-04-19 15:31:43.51456","2026-04-19 15:50:26.849178","batch=7; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_2",1084.82810211182,"2026-04-19 13:29:54.732756","2026-04-19 13:47:59.560858","batch=2; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_21",1014.37582802773,"2026-04-19 21:27:34.975857","2026-04-19 21:44:29.351685","batch=21; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_29",1003.34718585014,"2026-04-20 00:49:29.617278","2026-04-20 01:06:12.964464","batch=29; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_25",935.807311058044,"2026-04-19 22:46:49.977795","2026-04-19 23:02:25.785106","batch=25; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_19",781.756625890732,"2026-04-19 20:42:56.670452","2026-04-19 20:55:58.427078","batch=19; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_37",652.974815130234,"2026-04-20 04:15:06.21797","2026-04-20 04:25:59.192785","batch=37; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_39",648.174332141876,"2026-04-20 05:05:03.127941","2026-04-20 05:15:51.302273","batch=39; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_3",642.503998994827,"2026-04-19 13:55:57.325516","2026-04-19 14:06:39.829515","batch=3; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_35",640.139037847519,"2026-04-20 03:26:44.839148","2026-04-20 03:37:24.978186","batch=35; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_31",634.125938892365,"2026-04-20 01:51:49.358679","2026-04-20 02:02:23.484618","batch=31; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_24",601.906455039978,"2026-04-19 22:35:52.043134","2026-04-19 22:45:53.949589","batch=24; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_28",599.496308088303,"2026-04-20 00:38:28.752899","2026-04-20 00:48:28.249207","batch=28; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_10",586.289064884186,"2026-04-19 17:05:01.013334","2026-04-19 17:14:47.302399","batch=10; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_34",584.835151910782,"2026-04-20 03:15:47.282426","2026-04-20 03:25:32.117578","batch=34; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_17",516.626442909241,"2026-04-19 20:09:07.12696","2026-04-19 20:17:43.753403","batch=17; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_22",496.867645025253,"2026-04-19 21:45:13.185441","2026-04-19 21:53:30.053086","batch=22; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
"mice_batch_27",491.567029953003,"2026-04-20 00:29:23.497098","2026-04-20 00:37:35.064128","batch=27; m=2; maxit=20","20260419_112645","full",515286,"2026-04-19 11:26:45.267227"
