"variable","term","OR","LCL","UCL","p.value","run_id","run_ts"
"sodium","has_abg",0.12,0.08,0.17,2.58e-28,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","has_abg",0.15,0.11,0.21,5.95e-28,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","has_abg",0.14,0.09,0.19,7.09e-28,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","has_abg",0.22,0.17,0.29,1.17e-25,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","encounter_typeInpatient",0.58,0.52,0.64,2.81e-25,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","has_abg",0.22,0.17,0.3,1.65e-23,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","encounter_typeInpatient",0.39,0.32,0.47,2.01e-23,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","imv_proc",0.38,0.31,0.46,3.02e-23,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","encounter_typeInpatient",0.44,0.37,0.51,1.22e-22,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","has_vbg",0.1,0.07,0.16,7.06e-22,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","imv_proc",2.41,2.01,2.89,2.82e-21,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","has_vbg",0.15,0.1,0.22,3.9e-21,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","has_vbg",0.11,0.07,0.17,4.84e-21,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","has_vbg",0.1,0.06,0.17,6.44e-21,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","has_vbg",0.2,0.14,0.28,1.07e-20,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","has_vbg",0.48,0.41,0.56,2.19e-20,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","has_vbg",0.19,0.13,0.27,4.12e-20,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","age_at_encounter",0.99,0.98,0.99,5.02e-19,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","age_at_encounter",1.02,1.01,1.02,6.69e-14,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","curr_bmi",1.02,1.02,1.03,4.15e-13,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","imv_proc",0.28,0.19,0.39,1.35e-12,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","location1",1.6,1.4,1.82,1.95e-12,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","encounter_typeInpatient",0.52,0.44,0.63,2.86e-12,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","age_at_encounter",1.02,1.01,1.02,3.03e-12,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","encounter_typeInpatient",0.53,0.44,0.64,1.76e-11,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","encounter_typeInpatient",0.54,0.45,0.64,3.15e-11,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","encounter_typeInpatient",0.55,0.46,0.66,3.82e-11,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","encounter_typeInpatient",0.55,0.46,0.66,7.18e-11,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","age_at_encounter",0.99,0.99,0.99,9.94e-11,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","location1",0.63,0.54,0.72,1.87e-10,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","age_at_encounter",1.01,1.01,1.01,1.97e-10,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","curr_bmi",1.02,1.01,1.03,3.08e-10,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","location3",0.56,0.47,0.68,1.41e-09,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","has_abg",2.18,1.69,2.81,1.98e-09,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","location3",0.57,0.47,0.69,2.65e-09,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","has_vbg",0.52,0.41,0.65,3.88e-08,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","imv_proc",0.64,0.54,0.75,6.03e-08,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","curr_bmi",1.02,1.02,1.03,6.31e-08,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","death_60d",0.65,0.56,0.76,8.69e-08,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","location3",0.6,0.5,0.72,1.02e-07,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","location3",0.61,0.51,0.74,2.02e-07,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","imv_proc",1.6,1.34,1.91,3.09e-07,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","encounter_typeInpatient",1.33,1.19,1.48,4.01e-07,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","location3",0.62,0.51,0.74,4.06e-07,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","location3",0.62,0.51,0.75,4.75e-07,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","curr_bmi",1.02,1.01,1.03,2.27e-06,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","curr_bmi",1.02,1.01,1.03,2.91e-06,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","curr_bmi",1.03,1.01,1.04,6.39e-06,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","location2",1.45,1.23,1.71,9.91e-06,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","curr_bmi",1.02,1.01,1.03,1.3e-05,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","death_60d",1.46,1.23,1.73,1.55e-05,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","curr_bmi",1.02,1.01,1.03,1.8e-05,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","curr_bmi",1.02,1.01,1.03,2.08e-05,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","curr_bmi",1.02,1.01,1.03,2.24e-05,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","death_60d",1.44,1.21,1.71,2.7e-05,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","age_at_encounter",0.99,0.99,1,3.2e-05,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","curr_bmi",1.02,1.01,1.03,6.96e-05,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","curr_bmi",1.01,1.01,1.02,0.000103,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","sexMale",0.84,0.77,0.92,0.000242,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","location2",1.58,1.23,2.02,0.000285,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","has_abg",0.78,0.67,0.89,0.000349,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","location2",6.06,1.91,19.23,0.00224,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","location1",0.7,0.56,0.89,0.00324,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","has_vbg",0.72,0.58,0.9,0.0033,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","death_60d",0.78,0.65,0.92,0.00332,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","location1",0.72,0.58,0.9,0.00385,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","age_at_encounter",1.01,1,1.01,0.00425,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","has_vbg",0.74,0.6,0.91,0.00517,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","death_60d",0.65,0.48,0.88,0.00546,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","imv_proc",0.25,0.09,0.67,0.00646,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","location2",1.42,1.1,1.84,0.00662,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","location1",0.72,0.56,0.92,0.00778,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","location1",0.73,0.57,0.93,0.00968,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","location2",3.45,1.35,8.82,0.00971,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","imv_proc",1.32,1.07,1.63,0.0107,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","has_vbg",0.86,0.76,0.96,0.0108,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","location1",0.74,0.59,0.94,0.0137,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","sexMale",0.9,0.82,0.98,0.0152,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","imv_proc",0.37,0.16,0.85,0.0196,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","has_abg",1.28,1.04,1.56,0.0198,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","imv_proc",0.34,0.14,0.85,0.0205,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","has_abg",1.26,1.03,1.55,0.0227,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","imv_proc",0.51,0.27,0.95,0.0334,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","location1",0.78,0.62,0.99,0.0373,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","death_60d",0.58,0.34,1,0.048,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","imv_proc",0.54,0.29,1.01,0.0547,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","death_60d",0.8,0.64,1.01,0.0554,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","imv_proc",1.3,0.99,1.72,0.0594,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","has_vbg",1.12,0.99,1.27,0.0704,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","location1",1.33,0.96,1.85,0.0877,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","imv_proc",1.27,0.96,1.68,0.0935,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","curr_bmi",1.01,1,1.01,0.0997,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","death_60d",0.78,0.58,1.05,0.101,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","death_60d",0.63,0.35,1.11,0.109,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","death_60d",0.6,0.32,1.13,0.113,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","sexMale",0.88,0.74,1.03,0.121,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","sexMale",0.89,0.77,1.03,0.127,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","location2",1.23,0.94,1.62,0.127,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","sexMale",0.88,0.75,1.04,0.134,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_phos","location2",1.15,0.95,1.39,0.144,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","sexMale",0.89,0.75,1.05,0.152,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","sexMale",0.89,0.76,1.05,0.154,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","death_60d",0.64,0.34,1.19,0.159,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cr","sexMale",0.9,0.77,1.05,0.191,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","sexMale",0.9,0.76,1.06,0.208,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","curr_bmi",1,0.99,1,0.224,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","sexMale",0.91,0.77,1.07,0.239,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","location3",0.91,0.77,1.07,0.242,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","location2",1.17,0.89,1.54,0.249,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","imv_proc",0.69,0.35,1.34,0.268,"20260204_140017","2026-02-04 14:00:17.499946"
"sbp","location1",2,0.58,6.97,0.275,"20260204_140017","2026-02-04 14:00:17.499946"
"sodium","death_60d",0.71,0.38,1.33,0.284,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_ca","location2",1.15,0.89,1.48,0.284,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","location1",0.88,0.7,1.11,0.288,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_hco3","location2",1.16,0.88,1.51,0.294,"20260204_140017","2026-02-04 14:00:17.499946"
"temp_new","sexMale",1.04,0.95,1.15,0.387,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","imv_proc",0.79,0.45,1.39,0.417,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","curr_bmi",0.99,0.98,1.01,0.418,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","encounter_typeInpatient",1.05,0.93,1.18,0.427,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","death_60d",0.9,0.67,1.2,0.48,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_k","location2",1.09,0.84,1.43,0.513,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_o2sat","sexMale",1.06,0.87,1.3,0.555,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_cl","death_60d",0.86,0.48,1.52,0.597,"20260204_140017","2026-02-04 14:00:17.499946"
"wbc","sexMale",0.98,0.88,1.09,0.741,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","death_60d",1.08,0.68,1.71,0.745,"20260204_140017","2026-02-04 14:00:17.499946"
"plt","sexMale",1.02,0.87,1.2,0.77,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","location3",0.98,0.86,1.13,0.812,"20260204_140017","2026-02-04 14:00:17.499946"
"hr","sexMale",0.99,0.9,1.1,0.904,"20260204_140017","2026-02-04 14:00:17.499946"
"serum_lac","encounter_typeInpatient",1,0.9,1.1,0.935,"20260204_140017","2026-02-04 14:00:17.499946"
"dbp","location1",0.99,0.34,2.92,0.986,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","has_abg",0,0,Inf,0.995,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","has_vbg",0,0,Inf,0.995,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","location3",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","location1",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","location2",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","curr_bmi",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","has_abg",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","imv_proc",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","encounter_typeInpatient",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","age_at_encounter",1,0,1.85670687152769e+167,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","death_60d",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"vbg_co2","sexMale",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","encounter_typeInpatient",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","curr_bmi",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","location1",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","location3",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","age_at_encounter",1,0,1.85698064658919e+167,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","death_60d",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","has_vbg",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","location2",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","sexMale",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
"paco2","imv_proc",1,0,Inf,1,"20260204_140017","2026-02-04 14:00:17.499946"
